,question,passage,seq_label,ans
10,Mengatur tentang apakah Peraturan Menteri Perdagangan Nomor 12 Tahun 2005 ?,"Cirebon , Kompas - Ribuan perajin dan pekerja rotan berunjuk rasa , Jumat ( 26/8 ) , menolak Peraturan Menteri Perdagangan Nomor 12 Tahun 2005 tentang Pencabutan Larangan Ekspor Rotan . Permendag itu dinilai tidak memberikan kesejahteraan bagi para perajin rotan , tetapi menyebabkan hancurnya industri rotan di Cirebon .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",tentang pencabutan larangan ekspor rotan
11,Berapa warga Syiah yang terluka pada saat jembatan Sungai Tigris ambruk ?,"Baghdad , rabu - Sedikitnya 695 warga Syiah tewas dan 301 orang terluka akibat terdorong , terinjak , dan tenggelam di Sungai Tigris saat satu jembatan ambruk . Jembatan itu tidak kuat menahan beban ribuan orang yang berlarian dengan panik , Rabu ( 31/8 ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
12,"Berapa jumlah penduduk Provinsi Jiangsu , China saat ini ?","Topan Khanun kini sedang bergerak menuju arah utara melintasi Provinsi Jiangsu yang berpenduduk 74 juta jiwa . Topan itu menabrak setiap kota utama yang dilaluinya . Dua kota di Jiangsu , yakni Suzhou dan Wuxi , adalah yang paling parah diamuk topan . Akibatnya , sekolah-sekolah terpaksa ditutup .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",berpenduduk 74 juta jiwa
13,Berapa kategorikah impor TPT yang dikenakan ke China untuk pasar UE yang ditetapkan pada tanggal 27 Mei 2005,"Pada saat hampir bersamaan , UE pada 27 Mei 2005 mulai melakukan serangkaian perundingan bilateral dengan China dan disepakati untuk mengenakan kuota terhadap 10 kategori , yaitu cotton fabric , bedlinen , T-shirt , gaun ( dresses ) , pullovers , pakaian dalam wanita ( brassieres ) , celana pria ( men ' s trousers ) , table linen , blus ( blouses ) , dan flax yarn , hingga 2007 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
14,"Hingga Jumat 12 Agustus 2005 , berapakah korban diare di Nusa Tenggara Timur yang tewas ?","Kupang , Kompas - Anak-anak korban diare di Nusa Tenggara Timur masih terus berjatuhan . Hingga Jumat ( 12/8 ) , penyakit ini telah menewaskan 13 orang . Memasuki musim kemarau , kejadian luar biasa diare terus meluas hingga menelan korban jiwa .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
15,berapa kira-kira populasi orangutan Kalimantan menurut Direktur Konservasi Keanekaragaman Hayati Departemen Kehutanan Adi Susmianto,"Direktur Konservasi Keanekaragaman Hayati Departemen Kehutanan Adi Susmianto mengatakan , populasi orangutan sumatera saat ini hanya berkisar 7.000- 7.500 ekor , sedangkan orangutan kalimantan masih sekitar 50.000 ekor .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O']",mengatakan
16,Organisasi Jepang apakah yang melakukan studi terhadap banjir di kota Padang ?,"Bencana banjir yang cukup serius muncul tahun 1972 sampai tahun 2005 sekarang . Berdasarkan data dari studi JICA ( Japan International Cooperation Agency ) tahun 1983 dan Studi Evaluasi Lingkungan , tidak kurang dari Rp 6,5 miliar nilai harta benda yang lenyap setiap terjadi banjir besar di Kota Padang , dalam kurun waktu tahun 1972 sampai dengan 1992 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",japan international cooperation agency
17,Siapa nama Panglima Komando Armada Kawasan Timur Indonesia sekarang ?,"Manado , Kompas - Panglima Komando Armada Kawasan Timur Laksamana Muda TNI Y Didik Heru Purnomo mengakui pihaknya menembak sebuah kapal ikan China berbobot mati 180 gross ton di perairan Arafuru , Papua , beberapa waktu lalu .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",kompas - panglima komando armada kawasan timur laksamana muda tni y didik heru purnomo mengakui pihaknya menembak sebuah kapal ikan china
18,Apa nama perusahaan minyak negara Ekuador ?,"Quito , Jumat - Rakyat Ekuador turun ke jalanan untuk merebut bagian dari rezeki minyak . Mereka juga membuat perusahaan minyak negara ( Petroecuador ) terpaksa menghentikan ekspor mintak mentah . Hal itu terjadi di dua provinsi kaya minyak , Sucumbios dan Orellana , yang berpenduduk 150.000 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",mereka juga membuat perusahaan minyak negara ( petroecuador
19,Siapa Ketua Umum Pengurus Besar Persatuan Sepak Takraw Seluruh Indonesia ( PB Persetasi ) ?,"Ketua Umum Pengurus Besar Persatuan Sepak Takraw Seluruh Indonesia ( PB Persetasi ) Syamsurizal mengatakan , kejurnas kali ini tak hanya dimanfaatkan sebagai sarana mencari bibit baru . "" Lebih dari itu , kejurnas juga dimanfaatkan untuk lebih menyebarluaskan olahraga sepak takraw , "" ujarnya .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
20,Kapan terjadinya pembantaian terhadap warga Syiah di Irak ?,"Baghdad , Minggu - Mantan orang nomor satu Irak , Saddam Hussein , akan diadili , Rabu ( 19/10 ) , berkaitan dengan pembantaian terhadap 143 warga Syiah Irak tahun 1982 . Jika tuduhan itu terbuka , Saddam akan menghadapi hukuman gantung .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",berkaitan dengan pembantaian terhadap 143 warga syiah irak tahun 1982
21,kapan Sultan Ali Mughayat memerintah Aceh sebagai sultan pertama kerajaan Aceh,"Islam , sampai kemudian diambil alih oleh Dinasti Saljuq dari Baghdad dengan Sultan Ali Mughayat ( 1514-1530 ) sebagai sultan pertama Kerajaan Aceh . Baru pada masa Sultan Iskandar Thani ( 1637-1641 ) , Kesultanan Aceh diperintah oleh orang Melayu keturunan dari Pahang ( Malaysia ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1514 - 1530 ) sebagai sultan pertama kerajaan aceh
22,Bakteri apakah yang ditemukan oleh Barry Marshall dan Robin Warren dari Australia sehingga memenangi Nobel Kedokteran ?,"Sedang Nobel Kedokteran dimenangi Barry Marshall dan Robin Warren dari Australia , penemu Helicobacter pylori . Ini adalah bakteri penyebab tukak lambung dan usus .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
23,"Pada tahun berapakah , dilakukannya Penentuan Pendapatan Rakyat di Irian Jaya yang menjadikan pembentukan Provinsi Irian Barat","Pascapenggabungan Irian Barat melalui Penentuan Pendapat Rakyat tahun 1969 , pemerintah memberikan otonomi khusus melalui UU Nomor 12 Tahun 1969 tentang Pembentukan Provinsi Otonom Irian Barat dan Kabupaten-kabupaten Otonom di Provinsi Irian Barat . Otonomi khusus itu gugur karena nama Irian Barat berubah menjadi Irian Jaya . Hal serupa terjadi ketika terbit UU No 21 Tahun 2001 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1969
24,Siapakah nama sutradara Indonesia yang meninggal tahun 2001 dan dikenang dalam sebuah konser di tahun 2005,Sebuah konser musik memang tepat untuk menampilkan jejak langkah kreatif sutradara Teguh Karya ( 1934-2001 ) dalam berbagai filmnya . Film-film arahan pemimpin Teater Populer tersebut dihiasi dengan musik tema dan lagu-lagu soundtrack yang dapat dikatakan masuk dalam daftar lagu abadi di Indonesia .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",sebuah konser musik memang tepat untuk menampilkan jejak langkah kreatif sutradara teguh karya ( 1934 - 2001 ) dalam berbagai filmnya
25,Berapakah rata-rata tingkat erosi DAS Merawu ?,"Melihat kenyataan ini , penanggulangan erosi dan masalah lingkungan secara keseluruhan perlu dilakukan di daerah konstruksi dan daerah genangan maupun di daerah hulu Daerah Aliran Sungai ( DAS ) Serayu dan Merawu yang airnya dialirkan ke waduk mutlak harus dilakukan . DAS Merawu dengan luas 218 kilometer persegi lebih mempunyai tingkat erosi yang cukup tinggi , yakni rata-rata 10,23 mm per tahun , sedangkan DAS Serayu ( 678,3 km2 ) mempunyai tingkat erosi sekitar 4,12 mm per tahun .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
26,Berapakah temperatur insulator Mott saat mengantarkan listrik ?,"Meskipun berbasis bahan logam , Insulator Mott tidak mengalirkan listrik sebagaimana mestinya . Namanya diambil dari Sir Nevill Mott , seorang ilmuwan Inggris yang memperoleh penghargaan Nobel Fisika 1977 . Meskipun diberi kejutan listrik bertegangan tinggi , insulator Mott hanya mengalirkan listrik pada temperatur relatif rendah yakni 67 derajat Celcius .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O']",meskipun diberi kejutan listrik bertegangan tinggi
27,Kapan serangan terbesar teroris terhadap USA terjadi ?,"Buku ini merupakan bunga rampai dari banyak tulisan yang kebanyakan ditulis sebelum terjadi Peristiwa 11 September 2001 . Tetapi , di Pengantar edisi ketiga , Mahbubani menegaskan , serangan teroris tersebut memaparkan dengan gamblang bahwa "" kita tengah memasuki abad yang penuh ancaman "" .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
28,"Berapakah luas pendangkalan yang terjadi di Danau Melintang , Kalimantan Timur","Kenohan , Kompas - Tiga buah danau yang terdapat di hulu Sungai Mahakam , Kalimantan Timur , mengalami pendangkalan hebat . Ini ditandai dengan munculnya daratan-daratan baru di tengah danau . Tiga danau besar tersebut adalah Danau Melintang seluas 11.000 hektar , Semayang seluas 13.000 hektar , dan Jempang seluas 15.000 hektar .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[SEP]
29,"siapa nama pasangan asal Sumatera Barat yang mendapat medali emas pada kejuaraan dunia kempo yang berlangsung di Fukui , Jepang , 10-11 Oktober pada nomor embu campuran kyu kenshi","Jakarta , kompas - Tim Indonesia meraih dua medali emas , tiga perak , dan satu perunggu pada Kejuaraan Dunia Kempo yang berlangsung di Fukui , Jepang , 10-11 Oktober . Emas diraih pasangan Mas Udi / Rilando ( Lampung ) yang turun dalam nomor embu putra kyu kenshi dan pasangan Dery Fitri / Nofrialdi Tancin ( Sumatera Barat ) dalam nomor embu campuran kyu kenshi .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",pasangan dery fitri / nofrialdi tancin
30,Siapakah Menteri Pekerjaan Umum ( PU ) sekarang ?,"Menteri Pekerjaan Umum ( PU ) Djoko Kirmanto di Jakarta , Selasa ( 23/8 ) , mengatakan , besarnya kenaikan itu didasarkan pada inflasi regional selama dua tahun terakhir yang mencapai 15 persen sampai 16 persen . Patokan itu sesuai dengan perintah Undang-Undang ( UU ) Nomor 38 Tahun 2004 tentang Jalan .","['O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",djoko kirmanto di jakarta
31,Berapakah sumbangan yang diberikan oleh Celine Dion untuk warga New Orleans yang tertimpa bencana topan Katrina ?,"Penyanyi asal Kanada , Celine Dion ( 36 ) , mengkritik Presiden AS George W Bush karena dia menilai respons pemerintah terhadap korban Topan Katrina amat lambat . Dion , yang menyumbang satu juta dollar AS untuk korban topan itu , merasa terpukul melihat tayangan televisi yang menunjukkan warga kota New Orleans nyaris putus asa menanti kedatangan regu penolong .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",katrina
32,"Siapakah perebut medali emas 400 m putri di Kejuaraan Dunia Atletik Ke - 10 di Helsinki , Finlandia ?","Helsinki , Rabu - Berangkat dengan persiapan fisik dan kepercayaan diri yang besar membuat Tonique Williams-Darling dari Bahama tidak terlalu sulit mengatasi lawan-lawannya . Dia merebut medali emas di nomor lari 400 meter putri di Kejuaraan Dunia Atletik Ke - 10 di Helsinki , Finlandia , Rabu ( 10/8 ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","dia merebut medali emas di nomor lari 400 meter putri di kejuaraan dunia atletik ke - 10 di helsinki , finlandia , rabu ( 10 / 8 ) ."
33,Siapakah ketua Komisi A DPRD di Sumatera Utara ?,"Ketua Komisi A DPRD Muh Nuh mengatakan , DPRD akan mengagendakan pertemuan dengan Kepala Polda Sumut Inspektur Jenderal Iwan Panjiwinata guna membahas perkembangan penyelidikan ijazah palsu wakil gubernur . ( bil )","['O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
